"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","taxa","count","meanMass_ug","abundance_num_m3","biomass_gDryMass_m3","metadataID","comments","updateID"
"3","FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,2020-06-04 10:45:00,"tow",0,8,"daphnia",29,8.80593784084731,1490.42270834139,0.0131245697262416,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,2020-06-04 10:45:00,"tow",0,8,"cyclopoid",191,0.414571057573007,9816.23232045539,0.00406952581447352,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,2020-06-04 10:45:00,"tow",0,8,"holopedium",8,12.6580022831894,411.151091956247,0.00520435146071799,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,2020-06-04 10:45:00,"tow",0,8,"nauplii",340,0.837313416344849,17473.9214081405,0.0146311488311915,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-04,2020-06-04 10:45:00,"tow",0,8,"chaoborus",3,NA,154.181659483593,NA,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","WL_DeepHole_20200604_0915_tow_8_zoopCounts.20191212","WL","DeepHole",2020-06-04,2020-06-04 09:15:00,"tow",0,8,"daphnia",11,17.487891920808,737.026401877124,0.0128890380588092,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","WL_DeepHole_20200604_0915_tow_8_zoopCounts.20191212","WL","DeepHole",2020-06-04,2020-06-04 09:15:00,"tow",0,8,"cyclopoid",64,1.76417268143717,4288.15361092145,0.00756504345419378,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","WL_DeepHole_20200604_0915_tow_8_zoopCounts.20191212","WL","DeepHole",2020-06-04,2020-06-04 09:15:00,"tow",0,8,"holopedium",21,6.60247582831147,1407.0504035836,0.00929001627887662,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","WL_DeepHole_20200604_0915_tow_8_zoopCounts.20191212","WL","DeepHole",2020-06-04,2020-06-04 09:15:00,"tow",0,8,"nauplii",357,0.857077176336521,23919.8568609212,0.0205011633767321,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","WL_DeepHole_20200604_0915_tow_8_zoopCounts.20191212","WL","DeepHole",2020-06-04,2020-06-04 09:15:00,"tow",0,8,"chaoborus",3,NA,201.007200511943,NA,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","FE_DeepHole_20200609_1148_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-09,2020-06-09 11:48:00,"tow",0,8,"daphnia",15,10.4694810592977,1238.95976370744,0.012971265779367,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","FE_DeepHole_20200609_1148_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-09,2020-06-09 11:48:00,"tow",0,8,"cyclopoid",91,0.408504648382093,7516.35589982514,0.00307046632397274,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","FE_DeepHole_20200609_1148_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-09,2020-06-09 11:48:00,"tow",0,8,"holopedium",8,16.1651429891958,660.778540643968,0.0106815795937019,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","FE_DeepHole_20200609_1148_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-09,2020-06-09 11:48:00,"tow",0,8,"nauplii",195,0.81545859875993,16106.4769281967,0.0131341651068264,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","FE_DeepHole_20200609_1148_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-09,2020-06-09 11:48:00,"tow",0,8,"chaoborus",3,NA,247.791952741488,NA,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","WL_DeepHole_20200609_1020_tow_8_zoopCounts.20191212","WL","DeepHole",2020-06-09,2020-06-09 10:20:00,"tow",0,8,"daphnia",4,4.03170766557457,243.753861659775,0.000982744312567117,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","WL_DeepHole_20200609_1020_tow_8_zoopCounts.20191212","WL","DeepHole",2020-06-09,2020-06-09 10:20:00,"tow",0,8,"cyclopoid",62,0.511006427869329,3778.18485572651,0.0019306767469548,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","WL_DeepHole_20200609_1020_tow_8_zoopCounts.20191212","WL","DeepHole",2020-06-09,2020-06-09 10:20:00,"tow",0,8,"holopedium",11,7.71313535132045,670.323119564381,0.00517029295031943,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","WL_DeepHole_20200609_1020_tow_8_zoopCounts.20191212","WL","DeepHole",2020-06-09,2020-06-09 10:20:00,"tow",0,8,"nauplii",190,0.784168743581952,11578.3084288393,0.00907934757344725,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","WL_DeepHole_20200609_1020_tow_8_zoopCounts.20191212","WL","DeepHole",2020-06-09,2020-06-09 10:20:00,"tow",0,8,"chaoborus",9,NA,548.446188734494,NA,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","FE_DeepHole_20200616_1035_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-16,2020-06-16 10:35:00,"tow",0,8,"daphnia",29,103.463718942298,2019.37664992922,0.208932218146917,"zoopCounts.20191212","AA","longZoops_2020.20201123"
"3","FE_DeepHole_20200616_1035_tow_8_zoopCounts.20191212","FE","DeepHole",2020-06-16,2020-06-16 10:35:00,"tow",0,8,"cyclopoid",130,25.0192324060165,9052.37808588962,0.226483551158004,"zoopCounts.20191212","AA","longZoops_2020.20201123"
