"sample","abs","df","runID","POPinBottle","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POP","flag"
"P122",0.609,1,"Run6_POP_2019.xlsx",101.101519572836,3,"WL","DeepHole","6/25/2019","8:35","Hypo",8,8,140,1,NA,"WL_DeepHole_20190625_835_Hypo_8_Limno.Sample.20160505",21.6646113370363,NA
"P123",0.15,1,"Run6_POP_2019.xlsx",25.8154161203209,34,"PA","DeepHole","6/27/2019","8:42","PML",0,2,140,1,NA,"PA_DeepHole_20190627_842_PML_2_Limno.Sample.20160505",5.53187488292591,NA
"P124",0.499,1,"Run6_POP_2019.xlsx",83.0590982661328,34,"PA","DeepHole","6/27/2019","8:42","Hypo",8,8,140,1,NA,"PA_DeepHole_20190627_842_Hypo_8_Limno.Sample.20160505",17.7983781998856,NA
"P125",0.271,1,"Run6_POP_2019.xlsx",45.6620795576941,34,"PE","DeepHole","6/27/2019","10:01","PML",0,1.5,140,1,NA,"PE_DeepHole_20190627_1001_PML_1.5_Limno.Sample.20160505",9.78473133379159,NA
"P126",0.513,1,"Run6_POP_2019.xlsx",85.3554064324405,34,"PE","DeepHole","6/27/2019","10:01","Hypo",9,9,140,1,NA,"PE_DeepHole_20190627_1001_Hypo_9_Limno.Sample.20160505",18.290444235523,NA
"P127",0.162,1,"Run2_POP_2019.xlsx",24.5932556622661,15,"CR","DeepHole","7/1/2019","9:55","PML",0,1.5,140,1,NA,"CR_DeepHole_20190701_955_PML_1.5_Limno.Sample.20160505",5.26998335619988,NA
"P128",0.186,1,"Run3_POP_2019.xlsx",29.3121994450925,15,"CR","DeepHole","7/1/2019","9:55","Hypo",10,10,140,1,NA,"CR_DeepHole_20190701_955_Hypo_10_Limno.Sample.20160505",6.28118559537696,NA
"P129",NA,1,NA,NA,15,"CR","Outlet","7/1/2019","9:55","Surface",0,0,140,1,"failed QA/QC range check; reruns quite different; rerun reported","CR_Outlet_20190701_955_Surface_0_Limno.Sample.20160505",16.040553841395,"1"
"P13",0.213,1,"Run6_POP_2019.xlsx",36.1488028687053,34,"PE","DeepHole","5/15/2019","10:19","PML",0,1,140,1,NA,"PE_DeepHole_20190515_1019_PML_1_Limno.Sample.20160505",7.74617204329399,NA
"P130",0.24,1,"Run1_POP_2019.xlsx",38.7256500557658,15,"HB","DeepHole","7/1/2019","8:40","PML",0,0.5,140,1,NA,"HB_DeepHole_20190701_840_PML_0.5_Limno.Sample.20160505",8.29835358337838,NA
"P131",0.384,1,"Run1_POP_2019.xlsx",60.4022889719532,15,"HB","DeepHole","7/1/2019","8:40","Hypo",4.5,4.5,140,1,NA,"HB_DeepHole_20190701_840_Hypo_4.5_Limno.Sample.20160505",12.9433476368471,NA
"P132",0.378,1,"Run1_POP_2019.xlsx",59.4990956837788,15,"HB","Outlet","7/1/2019","8:40","Surface",0,0,140,1,NA,"HB_Outlet_20190701_840_Surface_0_Limno.Sample.20160505",12.7498062179526,NA
"P133",0.204,1,"Run3_POP_2019.xlsx",32.4517177602968,3,"FE","DeepHole","7/2/2019","9:08","PML",0,1.5,140,1,NA,"FE_DeepHole_20190702_908_PML_1.5_Limno.Sample.20160505",6.9539395200636,NA
"P134",0.346,1,"Run1_POP_2019.xlsx",54.6820648135149,3,"FE","DeepHole","7/2/2019","9:08","Hypo",8,8,140,1,NA,"FE_DeepHole_20190702_908_Hypo_8_Limno.Sample.20160505",11.7175853171818,NA
"P135",0.186,1,"Run1_POP_2019.xlsx",30.5969104621956,3,"WL","DeepHole","7/2/2019","8:30","PML",0,1.5,140,1,NA,"WL_DeepHole_20190702_830_PML_1.5_Limno.Sample.20160505",6.55648081332763,NA
"P136",0.61,1,"Run6_POP_2019.xlsx",101.265541584715,3,"WL","DeepHole","7/2/2019","8:30","Hypo",8,8,140,1,NA,"WL_DeepHole_20190702_830_Hypo_8_Limno.Sample.20160505",21.6997589110104,NA
"P137",0.141,1,"Run4_POP_2019.xlsx",24.3826056964409,17,"ME","DeepHole","7/3/2019","8:47","PML",0,1.5,140,1,NA,"ME_DeepHole_20190703_847_PML_1.5_Limno.Sample.20160505",5.22484407780876,NA
"P138",0.231,1,"Run2_POP_2019.xlsx",33.9996746329329,17,"ME","DeepHole","7/3/2019","8:47","Hypo",3,3,140,1,NA,"ME_DeepHole_20190703_847_Hypo_3_Limno.Sample.20160505",7.28564456419991,NA
"P139",0.374,1,"Run2_POP_2019.xlsx",53.4941371373582,17,"MO","DeepHole","7/3/2019","10:40","PML",0,1,140,1,NA,"MO_DeepHole_20190703_1040_PML_1_Limno.Sample.20160505",11.4630293865768,NA
"P14",0.37,1,"Run6_POP_2019.xlsx",61.9002587337267,34,"PE","DeepHole","5/15/2019","10:19","Hypo",9,9,140,1,NA,"PE_DeepHole_20190515_1019_Hypo_9_Limno.Sample.20160505",13.2643411572271,NA
"P140",0.799,1,"Run6_POP_2019.xlsx",132.265701829868,17,"MO","DeepHole","7/3/2019","10:40","Hypo",4,4,140,1,NA,"MO_DeepHole_20190703_1040_Hypo_4_Limno.Sample.20160505",28.3426503921146,NA
"P141",0.271,1,"Run5_POP_2019.xlsx",46.1363154045565,17,"MO","Outlet","7/3/2019","10:40","Surface",0,0,140,1,NA,"MO_Outlet_20190703_1040_Surface_0_Limno.Sample.20160505",9.88635330097639,NA
"P142",0.283,1,"Run6_POP_2019.xlsx",47.6303437002435,17,"MO","Inlet1","7/3/2019","10:40","Surface",0,0,140,1,NA,"MO_Inlet1_20190703_1040_Surface_0_Limno.Sample.20160505",10.2065022214807,NA
"P143",0.289,1,"Run2_POP_2019.xlsx",41.9065195647977,17,"MO","Inlet2","7/3/2019","10:40","Surface",0,0,140,1,NA,"MO_Inlet2_20190703_1040_Surface_0_Limno.Sample.20160505",8.97996847817093,NA
"P144",0.512,1,"Run3_POP_2019.xlsx",86.1723644871268,17,"MO","Inlet3","7/3/2019","10:40","Surface",0,0,140,1,NA,"MO_Inlet3_20190703_1040_Surface_0_Limno.Sample.20160505",18.4655066758129,NA
"P145",0.161,1,"Run5_POP_2019.xlsx",27.0793718942426,34,"PA","DeepHole","7/3/2019","9:15","PML",0,2,140,1,NA,"PA_DeepHole_20190703_915_PML_2_Limno.Sample.20160505",5.80272254876627,NA
"P146",0.525,1,"Run5_POP_2019.xlsx",90.1405304192813,34,"PA","DeepHole","7/3/2019","9:15","Hypo",8,8,140,1,NA,"PA_DeepHole_20190703_915_Hypo_8_Limno.Sample.20160505",19.3158279469888,NA
"P147",0.21,1,"Run6_POP_2019.xlsx",35.656736833068,34,"PE","DeepHole","7/3/2019","10:50","PML",0,1.5,140,1,NA,"PE_DeepHole_20190703_1050_PML_1.5_Limno.Sample.20160505",7.64072932137171,NA
"P148",0.591,1,"Run6_POP_2019.xlsx",98.1491233590116,34,"PE","DeepHole","7/3/2019","10:50","Hypo",9,9,140,1,NA,"PE_DeepHole_20190703_1050_Hypo_9_Limno.Sample.20160505",21.0319550055025,NA
"P149",NA,1,NA,NA,3,"FE","DeepHole","7/9/2019","11:04","PML",0,1,140,1,"failed QA/QC range check; reruns quite different; rerun reported","FE_DeepHole_20190709_1104_PML_1_Limno.Sample.20160505",8.49066703258939,"1"
"P15",0.331,1,"reruns_POP_2019_20210505.xlsx",55.9939111516489,15,"CR","DeepHole","5/20/2019","9:37","PML",0,3.5,140,1,NA,"CR_DeepHole_20190520_937_PML_3.5_Limno.Sample.20160505",11.9986952467819,NA
"P150",0.144,1,"Run4_POP_2019.xlsx",24.8970429758582,3,"FE","DeepHole","7/9/2019","11:04","Hypo",8,8,120,1,NA,"FE_DeepHole_20190709_1104_Hypo_8_Limno.Sample.20160505",6.22426074396455,NA
"P151",NA,1,NA,NA,3,"WL","DeepHole","7/9/2019","9:10","PML",0,1.5,140,1,"failed QA/QC range check; reruns quite different; rerun reported","WL_DeepHole_20190709_910_PML_1.5_Limno.Sample.20160505",11.3886033834441,"1"
"P152",0.182,1,"Run4_POP_2019.xlsx",31.4132485151441,3,"WL","DeepHole","7/9/2019","9:10","Hypo",8,8,140,1,NA,"WL_DeepHole_20190709_910_Hypo_8_Limno.Sample.20160505",6.73141039610231,NA
"P153",0.117,1,"Run5_POP_2019.xlsx",19.4565944901171,34,"PA","DeepHole","7/11/2019","8:30","PML",0,2,140,1,NA,"PA_DeepHole_20190711_830_PML_2_Limno.Sample.20160505",4.16927024788224,NA
"P154",0.454,1,"Run6_POP_2019.xlsx",75.6781077315726,34,"PA","DeepHole","7/11/2019","8:30","Hypo",8,8,140,1,NA,"PA_DeepHole_20190711_830_Hypo_8_Limno.Sample.20160505",16.2167373710513,NA
"P155",0.165,1,"Run5_POP_2019.xlsx",27.772351658254,34,"PE","DeepHole","7/11/2019","9:49","PML",0,2,140,1,NA,"PE_DeepHole_20190711_949_PML_2_Limno.Sample.20160505",5.951218212483,NA
"P156",0.361,1,"Run3_POP_2019.xlsx",59.8352941762459,34,"PE","DeepHole","7/11/2019","9:49","Hypo",9,9,140,1,NA,"PE_DeepHole_20190711_949_Hypo_9_Limno.Sample.20160505",12.8218487520527,NA
"P157",0.606,1,"Run6_POP_2019.xlsx",100.609453537198,17,"MO","DeepHole","7/15/2019","9:44","PML",0,1,140,1,NA,"MO_DeepHole_20190715_944_PML_1_Limno.Sample.20160505",21.5591686151139,NA
"P158",1.004,1,"Run5_POP_2019.xlsx",173.124857159648,17,"MO","DeepHole","7/15/2019","9:44","Hypo",4.5,4.5,140,1,NA,"MO_DeepHole_20190715_944_Hypo_4.5_Limno.Sample.20160505",37.0981836770674,NA
"P159",0.321,1,"Run3_POP_2019.xlsx",52.8585868091251,17,"MO","Outlet","7/15/2019","9:44","Surface",0,0,140,1,NA,"MO_Outlet_20190715_944_Surface_0_Limno.Sample.20160505",11.3268400305268,NA
"P16",0.259,1,"Run6_POP_2019.xlsx",43.6938154151447,15,"CR","DeepHole","5/20/2019","9:37","Hypo",8,8,140,1,NA,"CR_DeepHole_20190520_937_Hypo_8_Limno.Sample.20160505",9.36296044610243,NA
"P160",0.322,1,"Run3_POP_2019.xlsx",53.0330044933031,17,"MO","Inlet1","7/15/2019","9:44","Surface",0,0,140,1,NA,"MO_Inlet1_20190715_944_Surface_0_Limno.Sample.20160505",11.3642152485649,NA
"P161",0.402,1,"Run5_POP_2019.xlsx",68.8314026759303,17,"MO","Inlet2","7/15/2019","9:44","Surface",0,0,140,1,NA,"MO_Inlet2_20190715_944_Surface_0_Limno.Sample.20160505",14.7495862876993,NA
"P162",0.52,1,"Run6_POP_2019.xlsx",86.5035605155943,17,"MO","Inlet3","7/15/2019","9:44","Surface",0,0,140,1,NA,"MO_Inlet3_20190715_944_Surface_0_Limno.Sample.20160505",18.5364772533416,NA
"P163",0.284,1,"Run3_POP_2019.xlsx",46.4051324945384,3,"FE","DeepHole","7/16/2019","9:32","PML",0,1,140,1,NA,"FE_DeepHole_20190716_932_PML_1_Limno.Sample.20160505",9.94395696311537,NA
"P164",0.658,1,"Run4_POP_2019.xlsx",113.037296849358,3,"FE","DeepHole","7/16/2019","9:32","Hypo",8,8,140,1,NA,"FE_DeepHole_20190716_932_Hypo_8_Limno.Sample.20160505",24.222277896291,NA
"P165",0.447,1,"Run4_POP_2019.xlsx",76.8552081970066,3,"FE","Inlet1","7/16/2019","9:32","Surface",0,0,140,1,NA,"FE_Inlet1_20190716_932_Surface_0_Limno.Sample.20160505",16.4689731850728,NA
"P166",0.13,1,"Run4_POP_2019.xlsx",22.4963356719107,3,"WL","DeepHole","7/16/2019","8:35","PML",0,2,140,1,NA,"WL_DeepHole_20190716_835_PML_2_Limno.Sample.20160505",4.82064335826658,NA
"P167",0.705,1,"Run6_POP_2019.xlsx",116.847632713231,3,"WL","DeepHole","7/16/2019","8:35","Hypo",8,8,140,1,NA,"WL_DeepHole_20190716_835_Hypo_8_Limno.Sample.20160505",25.0387784385495,NA
"P168",0.181,1,"reruns_POP_2019_20210505.xlsx",29.3023921306189,3,"CR","DeepHole","7/18/2019","8:33","PML",0,3,140,1,NA,"CR_DeepHole_20190718_833_PML_3_Limno.Sample.20160505",6.27908402798976,NA
"P169",0.17,1,"Run4_POP_2019.xlsx",29.3554993974749,3,"CR","DeepHole","7/18/2019","8:33","Hypo",10,10,140,1,NA,"CR_DeepHole_20190718_833_Hypo_10_Limno.Sample.20160505",6.29046415660176,NA
"P17",0.28,1,"Run6_POP_2019.xlsx",47.1382776646062,15,"CR","Outlet","5/20/2019","9:37","Surface",0,0,140,1,NA,"CR_Outlet_20190520_937_Surface_0_Limno.Sample.20160505",10.1010594995585,NA
"P170",0.166,1,"Run6_POP_2019.xlsx",28.4397683103868,34,"PA","DeepHole","7/18/2019","8:27","PML",0,2,140,1,NA,"PA_DeepHole_20190718_827_PML_2_Limno.Sample.20160505",6.09423606651146,NA
"P171",0.683,1,"Run6_POP_2019.xlsx",113.23914845189,34,"PA","DeepHole","7/18/2019","8:27","Hypo",8,8,140,1,NA,"PA_DeepHole_20190718_827_Hypo_8_Limno.Sample.20160505",24.2655318111193,NA
"P172",0.203,1,"Run3_POP_2019.xlsx",32.2773000761188,3,"ME","DeepHole","7/18/2019","14:00","PML",0,2,140,1,NA,"ME_DeepHole_20190718_1400_PML_2_Limno.Sample.20160505",6.91656430202546,NA
"P173",0.323,1,"Run3_POP_2019.xlsx",53.2074221774811,3,"ME","DeepHole","7/18/2019","14:00","Hypo",4,4,140,1,NA,"ME_DeepHole_20190718_1400_Hypo_4_Limno.Sample.20160505",11.4015904666031,NA
"P174",0.315,1,"Run3_POP_2019.xlsx",51.812080704057,3,"ME","Outlet","7/18/2019","14:00","Surface",0,0,140,1,NA,"ME_Outlet_20190718_1400_Surface_0_Limno.Sample.20160505",11.1025887222979,NA
"P175",0.224,1,"Run6_POP_2019.xlsx",37.9530449993756,34,"PE","DeepHole","7/18/2019","14:15","PML",0,2,140,1,NA,"PE_DeepHole_20190718_1415_PML_2_Limno.Sample.20160505",8.13279535700905,NA
"P176",0.573,1,"Run2_POP_2019.xlsx",80.6227947484115,34,"PE","DeepHole","7/18/2019","14:15","Hypo",9,9,140,1,NA,"PE_DeepHole_20190718_1415_Hypo_9_Limno.Sample.20160505",17.2763131603739,NA
"P177",0.394,1,"Run1_POP_2019.xlsx",61.9076111189107,17,"BO","DeepHole","7/19/2019","9:30","PML",0,0.5,140,1,NA,"BO_DeepHole_20190719_930_PML_0.5_Limno.Sample.20160505",13.265916668338,NA
"P178",0.561,1,"Run1_POP_2019.xlsx",87.0464909731003,17,"BO","DeepHole","7/19/2019","9:30","Hypo",2,2,140,1,NA,"BO_DeepHole_20190719_930_Hypo_2_Limno.Sample.20160505",18.6528194942358,NA
"P179",0.223,1,"Run1_POP_2019.xlsx",36.1666024059381,17,"HB","DeepHole","7/19/2019","10:44","PML",0,0.5,140,1,NA,"HB_DeepHole_20190719_1044_PML_0.5_Limno.Sample.20160505",7.74998622984388,NA
"P18",0.299,1,"Run6_POP_2019.xlsx",50.2546958903094,15,"HB","DeepHole","5/20/2019","12:40","PML",0,0.5,140,1,NA,"HB_DeepHole_20190520_1240_PML_0.5_Limno.Sample.20160505",10.7688634050663,NA
"P180",0.516,1,"Run1_POP_2019.xlsx",80.2725413117917,17,"HB","DeepHole","7/19/2019","10:44","Hypo",4,4,140,1,NA,"HB_DeepHole_20190719_1044_Hypo_4_Limno.Sample.20160505",17.2012588525268,NA
"P181",0.391,1,"Run1_POP_2019.xlsx",61.4560144748235,17,"HB","Outlet","7/19/2019","10:44","Surface",0,0,140,1,NA,"HB_Outlet_20190719_1044_Surface_0_Limno.Sample.20160505",13.1691459588907,NA
"P182",0.209,1,"Run5_POP_2019.xlsx",35.3951290623796,3,"FE","DeepHole","7/22/2019","9:10","PML",0,2,140,1,NA,"FE_DeepHole_20190722_910_PML_2_Limno.Sample.20160505",7.58467051336706,NA
"P183",0.589,1,"Run5_POP_2019.xlsx",101.228206643464,3,"FE","DeepHole","7/22/2019","9:10","Hypo",8,8,140,1,NA,"FE_DeepHole_20190722_910_Hypo_8_Limno.Sample.20160505",21.6917585664566,NA
"P184",0.093,1,"Run4_POP_2019.xlsx",16.1516092257639,3,"FE","Inlet1","7/22/2019","9:10","Surface",0,0,140,1,NA,"FE_Inlet1_20190722_910_Surface_0_Limno.Sample.20160505",3.46105911980655,NA
"P185",0.23,1,"Run5_POP_2019.xlsx",39.0332728234395,3,"WL","DeepHole","7/22/2019","8:30","PML",0,2.5,140,1,NA,"WL_DeepHole_20190722_830_PML_2.5_Limno.Sample.20160505",8.36427274787989,NA
"P186",0.741,1,"Run6_POP_2019.xlsx",122.752425140879,3,"WL","DeepHole","7/22/2019","8:30","Hypo",8,8,140,1,NA,"WL_DeepHole_20190722_830_Hypo_8_Limno.Sample.20160505",26.3040911016169,NA
"P187",0.304,1,"Run3_POP_2019.xlsx",49.8934861780988,17,"BR","DeepHole","7/22/2019","10:20","PML",0,2.5,140,1,NA,"BR_DeepHole_20190722_1020_PML_2.5_Limno.Sample.20160505",10.6914613238783,NA
"P188",0.866,1,"Run1_POP_2019.xlsx",132.958816455303,17,"BR","DeepHole","7/22/2019","10:20","Hypo",4.5,4.5,140,1,NA,"BR_DeepHole_20190722_1020_Hypo_4.5_Limno.Sample.20160505",28.4911749547078,NA
"P189",0.178,1,"Run5_POP_2019.xlsx",30.0245358912911,17,"WA","DeepHole","7/22/2019","8:36","PML",0,1,140,1,NA,"WA_DeepHole_20190722_836_PML_1_Limno.Sample.20160505",6.43382911956238,NA
"P19",0.374,1,"Run2_POP_2019.xlsx",53.4941371373582,15,"HB","DeepHole","5/20/2019","12:40","Hypo",3,3,140,1,NA,"HB_DeepHole_20190520_1240_Hypo_3_Limno.Sample.20160505",11.4630293865768,NA
"P190",1.783,1,"Run4_POP_2019.xlsx",305.951276630849,17,"WA","DeepHole","7/22/2019","8:36","Hypo",4.5,4.5,140,1,NA,"WA_DeepHole_20190722_836_Hypo_4.5_Limno.Sample.20160505",65.5609878494676,NA
"P191",0.168,1,"Run3_POP_2019.xlsx",26.1726811298881,17,"BA","DeepHole","7/25/2019","9:25","PML",0,3,140,1,NA,"BA_DeepHole_20190725_925_PML_3_Limno.Sample.20160505",5.60843167069031,NA
"P192",0.252,1,"Run3_POP_2019.xlsx",40.8237666008418,17,"BA","DeepHole","7/25/2019","9:25","Hypo",6.5,6.5,140,1,NA,"BA_DeepHole_20190725_925_Hypo_6.5_Limno.Sample.20160505",8.74794998589467,NA
"P193",0.285,1,"Run1_POP_2019.xlsx",45.4995997170744,17,"TU","DeepHole","7/25/2019","8:40","PML",0,2,140,1,NA,"TU_DeepHole_20190725_840_PML_2_Limno.Sample.20160505",9.74991422508737,NA
"P194",0.496,1,"Run3_POP_2019.xlsx",83.3816815402785,17,"TU","DeepHole","7/25/2019","8:40","Hypo",5,5,140,1,NA,"TU_DeepHole_20190725_840_Hypo_5_Limno.Sample.20160505",17.8675031872025,NA
"P195",0.124,1,"Run4_POP_2019.xlsx",21.4674611130761,34,"PA","DeepHole","7/25/2019","8:38","PML",0,2.5,140,1,NA,"PA_DeepHole_20190725_838_PML_2.5_Limno.Sample.20160505",4.60017023851631,NA
"P196",0.322,1,"Run4_POP_2019.xlsx",55.4203215546187,34,"PA","DeepHole","7/25/2019","8:38","Hypo",7.5,7.5,140,1,NA,"PA_DeepHole_20190725_838_Hypo_7.5_Limno.Sample.20160505",11.8757831902754,NA
"P197",0.355,1,"Run2_POP_2019.xlsx",50.9039637976093,34,"PE","DeepHole","7/25/2019","10:18","PML",0,2,140,1,NA,"PE_DeepHole_20190725_1018_PML_2_Limno.Sample.20160505",10.9079922423448,NA
"P198",0.743,1,"Run1_POP_2019.xlsx",114.443354047726,34,"PE","DeepHole","7/25/2019","10:18","Hypo",9,9,140,1,NA,"PE_DeepHole_20190725_1018_Hypo_9_Limno.Sample.20160505",24.5235758673699,NA
"P199",0.247,1,"Run6_POP_2019.xlsx",41.7255512725953,17,"CB","DeepHole","7/29/2019","10:02","PML",0,1,140,1,NA,"CB_DeepHole_20190729_1002_PML_1_Limno.Sample.20160505",8.94118955841328,NA
"P2",0.507,1,"Run6_POP_2019.xlsx",84.3712743611658,3,"FE","DeepHole","5/8/2019","12:20","Hypo",8,8,140,1,NA,"FE_DeepHole_20190508_1220_Hypo_8_Limno.Sample.20160505",18.0795587916784,NA
"P20",0.209,1,"Run2_POP_2019.xlsx",31.000526555329,15,"HB","Outlet","5/20/2019","12:40","Surface",0,0,140,1,NA,"HB_Outlet_20190520_1240_Surface_0_Limno.Sample.20160505",6.64296997614193,NA
"P200",0.329,1,"Run4_POP_2019.xlsx",56.6206752065924,17,"CB","DeepHole","7/29/2019","10:02","Hypo",5,5,140,1,NA,"CB_DeepHole_20190729_1002_Hypo_5_Limno.Sample.20160505",12.1330018299841,NA
"P201",0.823,1,"Run6_POP_2019.xlsx",136.202230114967,17,"NG","DeepHole","7/29/2019","8:36","PML",0,0.75,140,1,NA,"NG_DeepHole_20190729_836_PML_0.75_Limno.Sample.20160505",29.1861921674929,NA
"P202",0.492,1,"Run6_POP_2019.xlsx",81.910944182979,17,"NG","DeepHole","7/29/2019","8:36","Hypo",4.5,4.5,140,1,NA,"NG_DeepHole_20190729_836_Hypo_4.5_Limno.Sample.20160505",17.5523451820669,NA
"P203",0.284,1,"Run5_POP_2019.xlsx",48.3884996375936,3,"FE","DeepHole","7/30/2019","10:01","PML",0,2,140,1,NA,"FE_DeepHole_20190730_1001_PML_2_Limno.Sample.20160505",10.3689642080558,NA
