lakeID,CR,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,1,0,0,0,0
date,20200710,,filtered,1,1,1,0,0,0,0
time,1025,,chloro,2,2,0,0,0,0,0
projectID,15,,POC,1,1,1,0,0,0,0
weather,sunny partly cloudy,,DOC,2,2,2,0,0,0,0
crew,RN and CS,,DNA,2,2,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,1,1,1,0,0,0,0
zoop tow depth,,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,Deck PAR 1466.5 DO calibration successful after membrane change ,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,120,120,0,0,0,0
lake_staffGauge,NA,ft,DNA,250,150,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,8.3,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,25.8,7.51,92.3,10.9,5.88,274.3,1210.1,1,NA,NA
0.25,,,,,,,991.4,NA,NA,NA
0.5,25.8,7.45,91.6,10.8,5.92,276.8,892.7,NA,NA,NA
0.75,,,,,,,592.5,NA,NA,NA
1,25.8,7.41,91,10.9,6.07,278.5,433.5,1,NA,NA
1.5,25.8,7.45,91.4,10.8,6.1,279.8,317.2,NA,NA,NA
2,25.7,7.42,91.1,10.8,6.14,277.6,234.7,NA,NA,NA
2.5,25.1,7.41,89.8,10.9,6.05,286.1,121.2,1,NA,NA
3,23,9.06,103.9,10.9,6.3,283.2,116.56,NA,NA,NA
3.5,19.1,10.77,114.4,10.7,6.32,282,91.56,NA,NA,NA
4,15.8,11.11,110.1,10.9,6.23,290.2,84.26,NA,NA,NA
4.5,13.4,10.81,103.8,11.1,6.11,296.7,50.93,NA,NA,NA
5,10.6,9.66,86.7,11.4,5.85,302.3,26.19,NA,NA,NA
5.5,9,7.53,65.2,11.9,5.77,309.4,22.01,NA,NA,NA
6,8.1,5.77,48.8,12.2,5.57,313.3,13.15,NA,NA,NA
6.5,7.3,3.53,29.3,12.6,5.51,316.8,,NA,NA,NA
7,6.9,2.88,23.7,12.8,5.47,313.9,,NA,NA,NA
7.5,6.6,2.44,19.9,13,5.45,313.3,,NA,1,NA
8,6.2,1.74,13.8,13.2,5.45,131.9,,NA,NA,NA
9,6,1.31,10.5,13.4,5.4,314.3,,NA,NA,NA
10,5.8,1.17,9.4,13.4,5.38,315.4,,NA,NA,NA
11,5.8,1.05,8.4,13.5,5.38,313.6,,NA,NA,NA
12,5.7,1.01,8.1,14.1,5.44,192.1,,NA,NA,NA
13,5.7,0.9,7.2,14.5,5.62,163.9,,NA,NA,NA
14,5.7,0.93,7.5,14.7,5.71,145.6,,NA,NA,NA
15,5.7,1.03,8.2,14.8,5.75,138.7,,NA,NA,NA
16,5.7,1.1,8.8,14.8,5.79,130.1,,NA,NA,NA
17,5.7,1.2,9.6,14.8,5.81,123.7,,NA,NA,NA
18,5.7,1.27,10.5,14.9,5.82,119.4,,NA,NA,NA
19,5.7,1.43,11.3,14.9,5.83,116,,NA,NA,NA
20,5.7,1.63,13,15,5.84,113.1,,NA,NA,NA
