projectID,sampleID,lakeID,siteID,dateSet,dateSample,gear,groupName,fishID,fishNum,species,fishLength,standardLength,fishWeight,caughtBy,jumperDescription,useTagMarkRecap,tagID,oldTag,tagApply,tagRecapture,tagApplyType,tagRecaptureType,clipApply,clipRecapture,sex,mortality,removed,otolithSample,tissueSampled,dietSampled,stomachRemoved,gillArchRemoved,pectoralFinRemoved,gonadRemoved,leftEyeRemoved,finClipCollected,photo,gonadWeight,rectalTemp,gonadSqueze,sexualStage_MaierScale,gpsWaypoint,finClipBox,spineSample,scaleSample,comments,entryFile
3,FE_WholeShoreline_20190515_1850_AN_MarkRecap.20120228,FE,WholeShoreline,5/15/2019,5/15/2019,AN,MarkRecap.20120228,FE_WholeShoreline_20190515_1850_AN_MarkRecap.20120228_1,1,largemouth_bass,337,NA,413,NA,NA,NA,NA,NA,,177417883,NA,pit,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,LongLake2019_FE_2019-05-15_1850.csv
3,FE_WholeShoreline_20190515_1850_AN_MarkRecap.20120228,FE,WholeShoreline,5/15/2019,5/15/2019,AN,MarkRecap.20120228,FE_WholeShoreline_20190515_1850_AN_MarkRecap.20120228_2,2,largemouth_bass,240,NA,210,NA,NA,NA,NA,NA,,900F67000049822,NA,pit,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,LongLake2019_FE_2019-05-15_1850.csv
3,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228,FE,WholeShoreline,6/6/2019,6/6/2019,AN,MarkRecap.20120228,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228_1,1,largemouth_bass,249,NA,224,NA,NA,NA,NA,NA,,900F67000049822,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,length issue in code,LongLake2019_FE_2019-06-06_0945.csv
3,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228,FE,WholeShoreline,6/6/2019,6/6/2019,AN,MarkRecap.20120228,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228_2,2,largemouth_bass,291,NA,294,NA,NA,NA,NA,NA,,900F224000125170,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,LongLake2019_FE_2019-06-06_0945.csv
3,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228,FE,WholeShoreline,6/6/2019,6/6/2019,AN,MarkRecap.20120228,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228_3,3,largemouth_bass,340,NA,352,NA,NA,NA,NA,NA,,2008032,NA,Floy,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,LongLake2019_FE_2019-06-06_0945.csv
3,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228,FE,WholeShoreline,6/6/2019,6/6/2019,AN,MarkRecap.20120228,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228_4,4,largemouth_bass,328,NA,377,NA,NA,NA,NA,NA,999F000010055179,,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag was recorded as as recap but not in database,LongLake2019_FE_2019-06-06_0945.csv
3,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228,FE,WholeShoreline,6/6/2019,6/6/2019,AN,MarkRecap.20120228,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228_5,5,largemouth_bass,225,NA,162,NA,NA,NA,NA,NA,,900F67000093070,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,LongLake2019_FE_2019-06-06_0945.csv
3,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228,FE,WholeShoreline,6/6/2019,6/6/2019,AN,MarkRecap.20120228,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228_6,6,largemouth_bass,253,NA,240,NA,NA,NA,NA,NA,,900F224000119591,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,LongLake2019_FE_2019-06-06_0945.csv
3,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228,FE,WholeShoreline,6/6/2019,6/6/2019,AN,MarkRecap.20120228,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228_7,7,largemouth_bass,255,NA,225,NA,NA,NA,NA,NA,,900F67000093083,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,LongLake2019_FE_2019-06-06_0945.csv
3,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228,FE,WholeShoreline,6/6/2019,6/6/2019,AN,MarkRecap.20120228,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228_8,8,largemouth_bass,249,NA,204,NA,NA,NA,NA,NA,,900F67000049810,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,LongLake2019_FE_2019-06-06_0945.csv
3,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228,FE,WholeShoreline,6/6/2019,6/6/2019,AN,MarkRecap.20120228,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228_9,9,largemouth_bass,256,NA,208,NA,NA,NA,NA,NA,900F67000152326,,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,LongLake2019_FE_2019-06-06_0945.csv
